status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account below 0 DM,24,existing credits paid back duly till now,furniture or equipment,3234,savings below 100 DM,employed less than 1 year,4,"female divorced, separated, or married",none,4,real estate,23,none,rent,1,unskilled resident,1,telephone registered under customer name,yes,bad credit
no checking account,30,critical account or other credits existing,radio or television,5954,savings below 100 DM,employed between 4 and 7 years,3,male single,co-applicant,2,car or other property,38,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown or no savings account,unemployed,2,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,26,none,rent,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,15,existing credits paid back duly till now,business,806,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,22,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,9,existing credits paid back duly till now,radio or television,1082,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,27,none,own,2,unskilled resident,1,no telephone,yes,good credit
no checking account,15,critical account or other credits existing,furniture or equipment,2788,savings below 100 DM,employed between 4 and 7 years,2,"female divorced, separated, or married",co-applicant,3,car or other property,24,bank,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,radio or television,2930,savings below 100 DM,employed between 4 and 7 years,2,"female divorced, separated, or married",none,1,real estate,27,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,24,critical account or other credits existing,education,1927,unknown or no savings account,employed between 1 and 4 years,3,"female divorced, separated, or married",none,2,car or other property,33,none,own,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,36,critical account or other credits existing,car (new),2820,savings below 100 DM,employed less than 1 year,4,male divorced or separated,none,4,car or other property,27,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
no checking account,24,existing credits paid back duly till now,retraining,937,savings below 100 DM,employed less than 1 year,4,male married or widowed,none,3,car or other property,27,none,own,2,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,18,critical account or other credits existing,car (new),1056,savings below 100 DM,employed 7 years or more,3,male single,guarantor,3,real estate,30,bank,own,2,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,12,critical account or other credits existing,car (new),3124,savings below 100 DM,employed less than 1 year,1,male single,none,3,real estate,49,bank,own,2,unskilled resident,2,no telephone,yes,good credit
no checking account,9,existing credits paid back duly till now,furniture or equipment,1388,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,2,real estate,26,none,rent,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,36,existing credits paid back duly till now,repairs,2384,savings below 100 DM,employed less than 1 year,4,male single,none,1,unknown or no property,33,none,rent,1,unskilled resident,1,no telephone,yes,bad credit
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown or no savings account,employed 7 years or more,4,"female divorced, separated, or married",none,4,unknown or no property,52,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,furniture or equipment,2039,savings below 100 DM,employed between 1 and 4 years,1,"female divorced, separated, or married",none,4,real estate,20,bank,rent,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,9,critical account or other credits existing,car (new),2799,savings below 100 DM,employed between 1 and 4 years,2,male single,none,2,real estate,36,none,rent,2,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,1289,savings below 100 DM,employed between 1 and 4 years,4,male single,guarantor,1,building society savings agreement or life insurance,21,none,own,1,unskilled resident,1,no telephone,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,savings below 100 DM,employed between 1 and 4 years,4,male married or widowed,none,3,real estate,47,none,own,1,unskilled resident,1,telephone registered under customer name,yes,bad credit
checking account below 0 DM,12,critical account or other credits existing,furniture or equipment,2246,savings below 100 DM,employed 7 years or more,3,male single,none,3,building society savings agreement or life insurance,60,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,12,critical account or other credits existing,radio or television,385,savings below 100 DM,employed between 4 and 7 years,4,"female divorced, separated, or married",none,3,real estate,58,none,own,4,unskilled resident,1,telephone registered under customer name,yes,good credit
checking account between 0 and 200 DM,24,delay in paying off in the past,car (new),1965,unknown or no savings account,employed between 1 and 4 years,4,"female divorced, separated, or married",none,4,car or other property,42,none,rent,2,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,21,existing credits paid back duly till now,business,1572,savings above 1000 DM,employed 7 years or more,4,"female divorced, separated, or married",none,4,real estate,36,bank,own,1,unskilled resident,1,no telephone,yes,good credit
